home_team,away_team,home_score,away_score,Date,Round,Attendance,Venue,Year
Spain,England,1,0,2023-08-20,Final,75784,Accor Stadium,2023
Sweden,Australia,2,0,2023-08-19,Third-place match,49461,Suncorp Stadium,2023
Australia,England,1,3,2023-08-16,Semi-finals,75784,Accor Stadium,2023
Spain,Sweden,2,1,2023-08-15,Semi-finals,43217,Eden Park,2023
Australia,France,0,0,2023-08-12,Quarter-finals,49461,Suncorp Stadium,2023
England,Colombia,2,1,2023-08-12,Quarter-finals,75784,Accor Stadium,2023
Spain,Netherlands,2,1,2023-08-11,Quarter-finals,32021,Sky Stadium,2023
Japan,Sweden,1,2,2023-08-11,Quarter-finals,43217,Eden Park,2023
Colombia,Jamaica,1,0,2023-08-08,Round of 16,27706,AAMI Park,2023
France,Morocco,4,0,2023-08-08,Round of 16,13557,Coopers Stadium,2023
England,Nigeria,0,0,2023-08-07,Round of 16,49461,Suncorp Stadium,2023
Australia,Denmark,2,0,2023-08-07,Round of 16,75784,Accor Stadium,2023
Netherlands,South Africa,2,0,2023-08-06,Round of 16,40233,Allianz Stadium,2023
Sweden,United States,0,0,2023-08-06,Round of 16,27706,AAMI Park,2023
Switzerland,Spain,1,5,2023-08-05,Round of 16,43217,Eden Park,2023
Japan,Norway,3,1,2023-08-05,Round of 16,33042,Sky Stadium,2023
Morocco,Colombia,1,0,2023-08-03,Group stage,17342,HBF Park,2023
Korea Republic,Germany,1,1,2023-08-03,Group stage,38945,Suncorp Stadium,2023
South Africa,Italy,3,2,2023-08-02,Group stage,14967,Sky Stadium,2023
Argentina,Sweden,0,2,2023-08-02,Group stage,17907,FMG Stadium Waikato,2023
Jamaica,Brazil,0,0,2023-08-02,Group stage,27638,AAMI Park,2023
Panama,France,3,6,2023-08-02,Group stage,40498,Allianz Stadium,2023
Vietnam,Netherlands,0,7,2023-08-01,Group stage,8215,Forsyth Barr Stadium,2023
Portugal,United States,0,0,2023-08-01,Group stage,40958,Eden Park,2023
Haiti,Denmark,0,2,2023-08-01,Group stage,17897,HBF Park,2023
China PR,England,1,6,2023-08-01,Group stage,13497,Coopers Stadium,2023
Japan,Spain,4,0,2023-07-31,Group stage,20957,Sky Stadium,2023
Costa Rica,Zambia,1,3,2023-07-31,Group stage,8117,FMG Stadium Waikato,2023
Republic of Ireland,Nigeria,0,0,2023-07-31,Group stage,24884,Suncorp Stadium,2023
Canada,Australia,0,4,2023-07-31,Group stage,27706,AAMI Park,2023
Korea Republic,Morocco,0,1,2023-07-30,Group stage,12886,Coopers Stadium,2023
Switzerland,New Zealand,0,0,2023-07-30,Group stage,25947,Forsyth Barr Stadium,2023
Norway,Philippines,6,0,2023-07-30,Group stage,34697,Eden Park,2023
Germany,Colombia,1,2,2023-07-30,Group stage,40499,Allianz Stadium,2023
Sweden,Italy,5,0,2023-07-29,Group stage,29143,Sky Stadium,2023
France,Brazil,2,1,2023-07-29,Group stage,49378,Suncorp Stadium,2023
Panama,Jamaica,0,1,2023-07-29,Group stage,15987,HBF Park,2023
Argentina,South Africa,2,2,2023-07-28,Group stage,8834,Forsyth Barr Stadium,2023
England,Denmark,1,0,2023-07-28,Group stage,40439,Allianz Stadium,2023
China PR,Haiti,1,0,2023-07-28,Group stage,12675,Coopers Stadium,2023
United States,Netherlands,1,1,2023-07-27,Group stage,27312,Sky Stadium,2023
Portugal,Vietnam,2,0,2023-07-27,Group stage,6645,FMG Stadium Waikato,2023
Australia,Nigeria,2,3,2023-07-27,Group stage,49156,Suncorp Stadium,2023
Japan,Costa Rica,2,0,2023-07-26,Group stage,6992,Forsyth Barr Stadium,2023
Spain,Zambia,5,0,2023-07-26,Group stage,20983,Eden Park,2023
Canada,Republic of Ireland,2,1,2023-07-26,Group stage,17065,HBF Park,2023
