Venue,Country,city,,
Accor Stadium,Australia,Sydney,83500,open
Suncorp Stadium,Australia,Brisbane,52500,oval
Eden Park,New Zealand,Auckland,50000,horseshoe
Sky Stadium,New Zealand,Wellington,34500,open
AAMI Park,Australia,Melbourne,30000,oval
Coopers Stadium,Australia,Adelaide,165000,horseshoe
Allianz Stadium,Australia,Sydney,45500,open
HBF Park,Australia,Perth,20500,oval
FMG Stadium Waikato,New Zealand,Hamilton,25800,horseshoe
Forsyth Barr Stadium,New Zealand,Dunedin,36000,open
Groupama Stadium,France,Decines-Charpieu,59186,oval
Stade de Nice,France, Nice,36178,open
Stade du Hainaut,France, Valenciennes,25000,oval
Roazhon Park,France, Rennes,29778,horseshoe
Parc des Princes,France, Paris,48583,open
Stade Oceane,France, Le Havre,25178,oval
Stade de la Mosson,France, Montpellier,32900,horseshoe
Stade Auguste-Delaune II,France, Reims,21127,open
Stade des Alpes,France, Grenoble,20068,oval
BC Place,Canada, Vancouver,54500,horseshoe
Olympic Stadium,Canada, Montreal,56000,open
Commonwealth Stadium,Canada, Edmonton,60081,oval
TD Place Stadium,Canada, Ottawa,24000,open
Moncton Stadium,Canada, Moncton,8300,oval
Investors Group Field,Canada, Winnipeg,32344,horseshoe
Commerzbank-Arena,Germany, Frankfurt am Main,42200,open
PreZero Arena,Germany, Sinsheim,60250,oval
Stadion im Borussia-Park,Germany,Monchengladbach,60250,horseshoe
WWK Arena,Germany, Augsburg,30660,open
DDV-Stadion,Germany, Dresden,32066,oval
BayArena,Germany, Leverkusen,30210,horseshoe
Volkswagen Arena,Germany, Wolfsburg,30000,open
Vonovia Ruhrstadion,Germany, Bochum,26000,oval
Olympiastadion Berlin,Germany, Berlin,74475,open
Hongkou Stadium,China, Shanghai,33060,oval
Yellow Dragon Stadium,China, Hangzhou,51971,horseshoe
Tianjin Olympic Centre Stadium,China, Tianjin,54696,open
Wuhan Stadium,China, Wuhan,52672,oval
Chengdu Sports Center,China, Chengdu,39225,horseshoe
The Home Depot Center,United States, Carson,27000,open
PGE Park,United States, Portland,25218,oval
Gillette Stadium,United States, Foxborough,65878,horseshoe
Columbus Crew Stadium,United States, Columbus,19968,open
Robert F. Kennedy Memorial Stadium,United States, Washington,45423,oval
Lincoln Financial Field,United States, Philadelphia,67594,open
Rose Bowl,United States, Pasadena,89702,oval
Stanford Stadium,United States, Stanford,50424,horseshoe
Foxboro Stadium,United States, Foxborough,60292,open
Jack Kent Cooke Stadium,United States, Landover,67617,oval
Spartan Stadium,United States, San Jose,75005,horseshoe
Giants Stadium,United States, East Rutherford,80242,open
Soldier Field,United States, Chicago,61500,oval
Civic Stadium,United States, Portland,4000,horseshoe
Rasunda Stadium,Sweden, Solna,36608,open
Stromvallen,Sweden, Gavle,7302,oval
Arosvallen,Sweden, Vasteras,10605,open
Olympia Stadion,Sweden, Helsingborg,74475,oval
Tingvallen,Sweden, Karlstad,10000,horseshoe
Tianhe Stadium,China, Guangzhou,54856,open
Guangdong Provincial Stadium,China, Guangzhou,15000,oval
Ying Dong Stadium,China, Panyu,30000,horseshoe
Zhongshan Stadium,China, Zhongshan,12000,open
New Plaza Stadium,China, Foshan,14000,oval
Jiangmen Stadium,China, Jiangmen,13000,horseshoe
